step,label,seed,fired,k,sv_err
1,attn_v,3,1,1,5.682462187665126e-08
1,attn_v,4,1,1,1.5963762208881841e-07
1,attn_v,5,1,1,4.598837833551589e-08
1,attn_v,6,1,1,1.5963762208881841e-07
1,attn_v,7,1,1,1.4880137854768304e-07
1,attn_v,8,1,1,5.682462187665126e-08
1,attn_v,9,1,1,4.598837833551589e-08
1,attn_v,10,1,1,5.682462187665126e-08
1,attn_v,11,1,1,4.598837833551589e-08
1,attn_v,12,1,1,4.598837833551589e-08
1,attn_v,13,1,1,4.598837833551589e-08
1,attn_v,14,1,1,5.682462187665126e-08
1,attn_v,15,1,1,5.682462187665126e-08
1,attn_v,16,1,1,4.598837833551589e-08
1,attn_v,17,1,1,5.682462187665126e-08
1,attn_v,18,1,1,5.682462187665126e-08
1,attn_v,19,1,1,5.682462187665126e-08
1,attn_o,0,1,1,8.747658152866959e-08
1,attn_o,1,1,1,1.1159370905584766e-08
1,attn_o,2,1,1,8.747658152866959e-08
1,attn_o,3,1,1,8.747658152866959e-08
1,attn_o,4,1,1,1.1159370905584766e-08
1,attn_o,5,1,1,8.747658152866959e-08
1,attn_o,6,1,1,8.747658152866959e-08
1,attn_o,7,1,1,1.1159370905584766e-08
1,attn_o,8,1,1,1.8611253396292396e-07
1,attn_o,9,1,1,8.747658152866959e-08
1,attn_o,10,1,1,1.0979532333983913e-07
1,attn_o,11,1,1,1.1159370905584766e-08
1,attn_o,12,1,1,1.0979532333983913e-07
1,attn_o,13,1,1,8.747658152866959e-08
1,attn_o,14,1,1,1.1159370905584766e-08
1,attn_o,15,1,1,1.1159370905584766e-08
1,attn_o,16,1,1,8.747658152866959e-08
1,attn_o,17,1,1,1.0979532333983913e-07
1,attn_o,18,1,1,1.1159370905584766e-08
1,attn_o,19,1,1,1.1159370905584766e-08
1,mlp_fc,0,1,1,3.3880872948675825e-08
1,mlp_fc,1,1,1,3.3880872948675825e-08
1,mlp_fc,2,1,1,3.3880872948675825e-08
1,mlp_fc,3,1,1,5.241756982884576e-08
1,mlp_fc,4,1,1,3.3880872948675825e-08
1,mlp_fc,5,1,1,1.3871601260636733e-07
1,mlp_fc,6,1,1,5.241756982884576e-08
1,mlp_fc,7,1,1,5.241756982884576e-08
1,mlp_fc,8,1,1,5.241756982884576e-08
1,mlp_fc,9,1,1,3.3880872948675825e-08
1,mlp_fc,10,1,1,1.3871601260636733e-07
1,mlp_fc,11,1,1,3.3880872948675825e-08
1,mlp_fc,12,1,1,3.3880872948675825e-08
1,mlp_fc,13,1,1,5.241756982884576e-08
1,mlp_fc,14,1,1,5.241756982884576e-08
1,mlp_fc,15,1,1,3.3880872948675825e-08
1,mlp_fc,16,1,1,5.241756982884576e-08
1,mlp_fc,17,1,1,1.3871601260636733e-07
1,mlp_fc,18,1,1,5.241756982884576e-08
1,mlp_fc,19,1,1,1.3871601260636733e-07
1,mlp_proj,0,1,1,9.172608587826513e-08
1,mlp_proj,1,1,1,5.857931463577717e-08
1,mlp_proj,2,1,1,1.6573385621243976e-08
1,mlp_proj,3,1,1,5.857931463577717e-08
1,mlp_proj,4,1,1,1.6573385621243976e-08
1,mlp_proj,5,1,1,1.3373201489279832e-07
1,mlp_proj,6,1,1,5.857931463577717e-08
1,mlp_proj,7,1,1,1.6573385621243976e-08
1,mlp_proj,8,1,1,9.172608587826513e-08
1,mlp_proj,9,1,1,1.6573385621243976e-08
1,mlp_proj,10,1,1,5.857931463577717e-08
1,mlp_proj,11,1,1,1.6573385621243976e-08
1,mlp_proj,12,1,1,1.668787861352863e-07
1,mlp_proj,13,1,1,5.857931463577717e-08
1,mlp_proj,14,1,1,5.857931463577717e-08
1,mlp_proj,15,1,1,1.6573385621243976e-08
1,mlp_proj,16,1,1,1.6573385621243976e-08
1,mlp_proj,17,1,1,5.857931463577717e-08
1,mlp_proj,18,1,1,1.6573385621243976e-08
1,mlp_proj,19,1,1,1.6573385621243976e-08
500,attn_q,0,1,7,0.00030127531449489686
500,attn_q,1,1,7,0.0001556031518911886
500,attn_q,2,1,7,0.00025638769428313555
500,attn_q,3,1,7,0.00025793110228301223
500,attn_q,4,1,7,0.00023240549739809638
500,attn_q,5,1,7,0.0003171979694782766
500,attn_q,6,1,7,0.00021253430479556702
500,attn_q,7,1,7,0.0005394748668457296
500,attn_q,8,1,7,0.0001968241738918579
500,attn_q,9,1,7,0.00024692675353071397
500,attn_q,10,1,7,0.0001569119494337861
500,attn_q,11,1,7,0.00021762948238595917
500,attn_q,12,1,7,0.0002853265942808232
500,attn_q,13,1,7,0.00031791956129017786
500,attn_q,14,1,7,0.0003011903948683903
500,attn_q,15,1,7,0.00019113455891592
500,attn_q,16,1,7,0.00026824157978385445
500,attn_q,17,1,7,0.00014841998678313253
500,attn_q,18,1,7,0.0002367363983499297
500,attn_q,19,1,7,0.00019179606948829665
500,attn_k,0,1,28,0.012790615949625607
500,attn_k,1,1,28,0.012543420758796527
500,attn_k,2,1,28,0.012922863345982676
500,attn_k,3,1,28,0.010928391476372316
500,attn_k,4,1,28,0.00975016510106905
500,attn_k,5,1,28,0.01263041723854832
500,attn_k,6,1,28,0.014920625246993599
500,attn_k,7,1,28,0.01638278203052328
500,attn_k,8,1,28,0.01841526968429221
500,attn_k,9,1,28,0.010056906625981327
500,attn_k,10,1,28,0.018515674669582524
500,attn_k,11,1,28,0.013314878710140006
500,attn_k,12,1,28,0.01637233361595677
500,attn_k,13,1,28,0.012954476013312757
500,attn_k,14,1,29,0.013197339974759836
500,attn_k,15,1,27,0.019603792906471875
500,attn_k,16,1,28,0.010848164231929169
500,attn_k,17,1,27,0.012675716688614233
500,attn_k,18,1,28,0.014212854061737296
500,attn_k,19,1,28,0.013225187005899735
500,attn_v,0,1,1,8.660802990944497e-08
500,attn_v,1,1,1,1.9774101224685297e-07
500,attn_v,2,1,1,8.660802990944497e-08
500,attn_v,3,1,1,2.4524952427963027e-08
500,attn_v,4,1,1,2.4524952427963027e-08
500,attn_v,5,1,1,8.660802990944497e-08
500,attn_v,6,1,1,1.9774101224685297e-07
500,attn_v,7,1,1,8.660802990944497e-08
500,attn_v,8,1,1,2.4524952427963027e-08
500,attn_v,9,1,1,2.4524952427963027e-08
500,attn_v,10,1,1,1.9774101224685297e-07
500,attn_v,11,1,1,1.9774101224685297e-07
500,attn_v,12,1,1,8.660802990944497e-08
500,attn_v,13,1,1,8.660802990944497e-08
500,attn_v,14,1,1,2.4524952427963027e-08
500,attn_v,15,1,1,8.660802990944497e-08
500,attn_v,16,1,1,2.4524952427963027e-08
500,attn_v,17,1,1,8.660802990944497e-08
500,attn_v,18,1,1,1.35657934765371e-07
500,attn_v,19,1,1,3.0887399458426096e-07
500,attn_o,0,1,1,1.5229172869389153e-07
500,attn_o,1,1,1,8.920509959101122e-08
500,attn_o,2,1,1,8.920509959101122e-08
500,attn_o,3,1,1,8.920509959101122e-08
500,attn_o,4,1,1,2.6118470488130887e-08
500,attn_o,5,1,1,8.920509959101122e-08
500,attn_o,6,1,1,1.5229172869389153e-07
500,attn_o,7,1,1,8.920509959101122e-08
500,attn_o,8,1,1,1.5229172869389153e-07
500,attn_o,9,1,1,8.920509959101122e-08
500,attn_o,10,1,1,1.5229172869389153e-07
500,attn_o,11,1,1,8.920509959101122e-08
500,attn_o,12,1,1,8.920509959101122e-08
500,attn_o,13,1,1,8.920509959101122e-08
500,attn_o,14,1,1,8.920509959101122e-08
500,attn_o,15,1,1,1.5229172869389153e-07
500,attn_o,16,1,1,1.5229172869389153e-07
500,attn_o,17,1,1,8.920509959101122e-08
500,attn_o,18,1,1,1.5229172869389153e-07
500,attn_o,19,1,1,8.920509959101122e-08
500,mlp_fc,0,1,2,5.3455303401178823e-05
500,mlp_fc,1,1,2,4.6456392553964565e-05
500,mlp_fc,2,1,2,3.268930418416948e-05
500,mlp_fc,3,1,2,3.3535326374492085e-05
500,mlp_fc,4,1,2,2.9382126531090212e-05
500,mlp_fc,5,1,2,3.0458882046046254e-05
500,mlp_fc,6,1,2,3.738088178504937e-05
500,mlp_fc,7,1,2,2.4998193363054908e-05
500,mlp_fc,8,1,2,5.607028108035778e-05
500,mlp_fc,9,1,2,4.684094809502029e-05
500,mlp_fc,10,1,2,4.2610837143407276e-05
500,mlp_fc,11,1,2,3.968821503138374e-05
500,mlp_fc,12,1,2,3.768852621789395e-05
500,mlp_fc,13,1,2,4.8071525826398625e-05
500,mlp_fc,14,1,2,4.04573261134952e-05
500,mlp_fc,15,1,2,2.838228212434532e-05
500,mlp_fc,16,1,2,3.330459304985864e-05
500,mlp_fc,17,1,2,3.9611303923172596e-05
500,mlp_fc,18,1,2,3.538119297155958e-05
500,mlp_fc,19,1,2,5.891599208417017e-05
500,mlp_proj,0,1,8,0.001288999851303013
500,mlp_proj,1,1,8,0.0012494846539764452
500,mlp_proj,2,1,8,0.0024050930251578013
500,mlp_proj,3,1,8,0.00162067507384108
500,mlp_proj,4,1,8,0.0022582121250269383
500,mlp_proj,5,1,8,0.002145211304377062
500,mlp_proj,6,1,8,0.0010962060656850203
500,mlp_proj,7,1,8,0.0013307449492349424
500,mlp_proj,8,1,8,0.0012174390677587746
500,mlp_proj,9,1,8,0.001380018953718202
500,mlp_proj,10,1,8,0.0019440147212687455
500,mlp_proj,11,1,8,0.0021109278906165404
500,mlp_proj,12,1,8,0.001020043109232724
500,mlp_proj,13,1,8,0.0019042190723545713
500,mlp_proj,14,1,8,0.0014228396097288928
500,mlp_proj,15,1,8,0.0018852623612164005
500,mlp_proj,16,1,8,0.0014647238597122049
500,mlp_proj,17,1,8,0.0018482228298790525
500,mlp_proj,18,1,8,0.0013060025531064382
500,mlp_proj,19,1,8,0.0011674304283292459
1000,attn_q,0,1,27,0.04234058115316719
1000,attn_q,1,1,27,0.04386756488380335
1000,attn_q,2,1,27,0.037286424393487755
1000,attn_q,3,1,28,0.03718493270827434
1000,attn_q,4,1,27,0.03878147569993187
1000,attn_q,5,1,27,0.042788206223338406
1000,attn_q,6,1,27,0.03968417586392357
1000,attn_q,7,1,27,0.030528859882690426
1000,attn_q,8,1,27,0.03862155209166855
1000,attn_q,9,1,27,0.035572472111450475
1000,attn_q,10,1,28,0.04045606217533752
1000,attn_q,11,1,26,0.03668771503469391
1000,attn_q,12,1,27,0.05638700281736804
1000,attn_q,13,1,27,0.02960319576767583
1000,attn_q,14,1,27,0.04519303463654956
1000,attn_q,15,1,27,0.03787443319973494
1000,attn_q,16,1,27,0.0369419854257044
1000,attn_q,17,1,27,0.052530658680473956
1000,attn_q,18,1,28,0.04018489037981651
1000,attn_q,19,1,28,0.041561528367060424
1000,attn_k,0,0,0,nan
1000,attn_k,1,0,0,nan
1000,attn_k,2,0,0,nan
1000,attn_k,3,0,0,nan
1000,attn_k,4,0,0,nan
1000,attn_k,5,0,0,nan
1000,attn_k,6,0,0,nan
1000,attn_k,7,0,0,nan
1000,attn_k,8,0,0,nan
1000,attn_k,9,0,0,nan
1000,attn_k,10,0,0,nan
1000,attn_k,11,0,0,nan
1000,attn_k,12,0,0,nan
1000,attn_k,13,0,0,nan
1000,attn_k,14,0,0,nan
1000,attn_k,15,0,0,nan
1000,attn_k,16,0,0,nan
1000,attn_k,17,0,0,nan
1000,attn_k,18,0,0,nan
1000,attn_k,19,0,0,nan
1000,attn_v,0,1,1,1.5106805160292397e-07
1000,attn_v,1,1,1,8.084228254935273e-09
1000,attn_v,2,1,1,7.149191167399434e-08
1000,attn_v,3,1,1,8.766036818386489e-08
1000,attn_v,4,1,1,1.5106805160292397e-07
1000,attn_v,5,1,1,8.766036818386489e-08
1000,attn_v,6,1,1,2.3064419153185356e-07
1000,attn_v,7,1,1,1.5106805160292397e-07
1000,attn_v,8,1,1,2.3064419153185356e-07
1000,attn_v,9,1,1,8.766036818386489e-08
1000,attn_v,10,1,1,8.766036818386489e-08
1000,attn_v,11,1,1,8.766036818386489e-08
1000,attn_v,12,1,1,1.672365081127945e-07
1000,attn_v,13,1,1,1.672365081127945e-07
1000,attn_v,14,1,1,8.084228254935273e-09
1000,attn_v,15,1,1,8.084228254935273e-09
1000,attn_v,16,1,1,7.149191167399434e-08
1000,attn_v,17,1,1,8.766036818386489e-08
1000,attn_v,18,1,1,8.766036818386489e-08
1000,attn_v,19,1,1,8.766036818386489e-08
1000,attn_o,0,1,2,1.7548996383340995e-06
1000,attn_o,1,1,2,1.5305633367420466e-06
1000,attn_o,2,1,2,1.9792359399261522e-06
1000,attn_o,3,1,2,2.3157403923142315e-06
1000,attn_o,4,1,2,2.5400766939062843e-06
1000,attn_o,5,1,2,1.5305633367420466e-06
1000,attn_o,6,1,2,2.652244844702311e-06
1000,attn_o,7,1,2,1.8670677891301259e-06
1000,attn_o,8,1,2,2.427908543110258e-06
1000,attn_o,9,1,2,1.7548996383340995e-06
1000,attn_o,10,1,2,1.9792359399261522e-06
1000,attn_o,11,1,2,2.5400766939062843e-06
1000,attn_o,12,1,2,1.9792359399261522e-06
1000,attn_o,13,1,2,2.203572241518205e-06
1000,attn_o,14,1,2,9.697225827619146e-07
1000,attn_o,15,1,2,1.9792359399261522e-06
1000,attn_o,16,1,2,1.9792359399261522e-06
1000,attn_o,17,1,2,1.9792359399261522e-06
1000,attn_o,18,1,2,1.4183951859460202e-06
1000,attn_o,19,1,2,1.5305633367420466e-06
1000,mlp_fc,0,1,10,0.017938264732443056
1000,mlp_fc,1,1,10,0.022595360733640022
1000,mlp_fc,2,1,10,0.019681900594828588
1000,mlp_fc,3,1,10,0.025124459668933608
1000,mlp_fc,4,1,10,0.01822226564214244
1000,mlp_fc,5,1,10,0.016698736303579743
1000,mlp_fc,6,1,10,0.021931599085419556
1000,mlp_fc,7,1,10,0.013786085036480177
1000,mlp_fc,8,1,10,0.01864704494680197
1000,mlp_fc,9,1,10,0.013659636818704716
1000,mlp_fc,10,1,10,0.023459326679235195
1000,mlp_fc,11,1,10,0.02244326144437195
1000,mlp_fc,12,1,10,0.024338336372820082
1000,mlp_fc,13,1,10,0.018712411942923505
1000,mlp_fc,14,1,10,0.013432493716790292
1000,mlp_fc,15,1,10,0.020548011588621615
1000,mlp_fc,16,1,10,0.01478301995347131
1000,mlp_fc,17,1,10,0.01980876880949928
1000,mlp_fc,18,1,10,0.01597309353595377
1000,mlp_fc,19,1,10,0.016140630745891667
1000,mlp_proj,0,0,0,nan
1000,mlp_proj,1,0,0,nan
1000,mlp_proj,2,0,0,nan
1000,mlp_proj,3,0,0,nan
1000,mlp_proj,4,0,0,nan
1000,mlp_proj,5,0,0,nan
1000,mlp_proj,6,0,0,nan
1000,mlp_proj,7,0,0,nan
1000,mlp_proj,8,0,0,nan
1000,mlp_proj,9,0,0,nan
1000,mlp_proj,10,0,0,nan
1000,mlp_proj,11,0,0,nan
1000,mlp_proj,12,0,0,nan
1000,mlp_proj,13,0,0,nan
1000,mlp_proj,14,0,0,nan
1000,mlp_proj,15,0,0,nan
1000,mlp_proj,16,0,0,nan
1000,mlp_proj,17,0,0,nan
1000,mlp_proj,18,0,0,nan
1000,mlp_proj,19,0,0,nan
1500,attn_q,0,1,20,0.02844376621840554
1500,attn_q,1,1,20,0.016336821801025053
1500,attn_q,2,1,21,0.020967913220229242
1500,attn_q,3,1,20,0.017041335048310655
1500,attn_q,4,1,20,0.021327766953868045
1500,attn_q,5,1,20,0.02706518751624019
1500,attn_q,6,1,21,0.018337496477731394
1500,attn_q,7,1,20,0.015511950269901707
1500,attn_q,8,1,20,0.02404177514751832
1500,attn_q,9,1,20,0.02416679363881051
1500,attn_q,10,1,20,0.017496767794563103
1500,attn_q,11,1,20,0.0262423058992456
1500,attn_q,12,1,20,0.021631912775231323
1500,attn_q,13,1,20,0.01967183438442674
1500,attn_q,14,1,20,0.02303598900695372
1500,attn_q,15,1,20,0.028912947113080574
1500,attn_q,16,1,20,0.03402461509195381
1500,attn_q,17,1,21,0.02987677109140163
1500,attn_q,18,1,20,0.017960936755412833
1500,attn_q,19,1,20,0.03195481808499586
1500,attn_k,0,1,31,0.05422009730622468
1500,attn_k,1,1,30,0.0627886015848198
1500,attn_k,2,1,31,0.06194453052629319
1500,attn_k,3,1,31,0.06016128851945205
1500,attn_k,4,1,31,0.05267391662875495
1500,attn_k,5,1,30,0.055981815065918136
1500,attn_k,6,1,31,0.06089303374822082
1500,attn_k,7,1,31,0.05987037895001299
1500,attn_k,8,1,30,0.0588442925768506
1500,attn_k,9,1,31,0.05098590005104606
1500,attn_k,10,1,31,0.05913757551552473
1500,attn_k,11,1,30,0.06132685753594281
1500,attn_k,12,1,30,0.05792537248755992
1500,attn_k,13,1,30,0.04753201365928147
1500,attn_k,14,1,30,0.06122953494422329
1500,attn_k,15,1,31,0.06369038351135627
1500,attn_k,16,1,31,0.052355266306237006
1500,attn_k,17,1,30,0.0686478519074702
1500,attn_k,18,1,31,0.05701545084632583
1500,attn_k,19,1,30,0.06413119293372045
1500,attn_v,0,1,2,5.663246177613483e-07
1500,attn_v,1,1,2,2.3068135248910708e-07
1500,attn_v,2,1,2,3.6493865859800355e-07
1500,attn_v,3,1,2,2.9781000554355535e-07
1500,attn_v,4,1,2,4.991959647069e-07
1500,attn_v,5,1,2,2.9295393325762398e-08
1500,attn_v,6,1,2,3.6493865859800355e-07
1500,attn_v,7,1,2,1.6355269943465885e-07
1500,attn_v,8,1,2,4.3206731165245176e-07
1500,attn_v,9,1,2,6.334532708157964e-07
1500,attn_v,10,1,2,1.6355269943465885e-07
1500,attn_v,11,1,2,1.3627594034990647e-07
1500,attn_v,12,1,2,4.3206731165245176e-07
1500,attn_v,13,1,2,4.991959647069e-07
1500,attn_v,14,1,2,9.019678830335894e-07
1500,attn_v,15,1,2,3.6493865859800355e-07
1500,attn_v,16,1,2,2.9781000554355535e-07
1500,attn_v,17,1,2,3.6493865859800355e-07
1500,attn_v,18,1,2,9.642404638021063e-08
1500,attn_v,19,1,2,2.3068135248910708e-07
1500,attn_o,0,1,13,0.021577623634512683
1500,attn_o,1,1,12,0.018227583107276096
1500,attn_o,2,1,13,0.017128320729632784
1500,attn_o,3,1,13,0.019110012973893212
1500,attn_o,4,1,13,0.028376621026348504
1500,attn_o,5,1,13,0.01799711697880054
1500,attn_o,6,1,12,0.015240247352919688
1500,attn_o,7,1,13,0.01945003952528502
1500,attn_o,8,1,12,0.015545776620885854
1500,attn_o,9,1,13,0.016689714836817793
1500,attn_o,10,1,13,0.01572420198860854
1500,attn_o,11,1,13,0.019233276678070288
1500,attn_o,12,1,13,0.0192597024982782
1500,attn_o,13,1,13,0.01740687614312614
1500,attn_o,14,1,13,0.017747968641160423
1500,attn_o,15,1,13,0.016078801467329023
1500,attn_o,16,1,13,0.015553001381719502
1500,attn_o,17,1,13,0.022274116241094807
1500,attn_o,18,1,12,0.019897057900325955
1500,attn_o,19,1,13,0.01789574138267222
1500,mlp_fc,0,1,15,0.03801855274413853
1500,mlp_fc,1,1,14,0.044501250447717314
1500,mlp_fc,2,1,15,0.038755463126839765
1500,mlp_fc,3,1,14,0.03796943857370214
1500,mlp_fc,4,1,15,0.03877911098392857
1500,mlp_fc,5,1,14,0.03562640180546463
1500,mlp_fc,6,1,15,0.044573218352697695
1500,mlp_fc,7,1,14,0.03350587214352981
1500,mlp_fc,8,1,14,0.043517606307442974
1500,mlp_fc,9,1,15,0.037904642895586795
1500,mlp_fc,10,1,14,0.04624217583708061
1500,mlp_fc,11,1,15,0.043860384514357593
1500,mlp_fc,12,1,15,0.03714869331757441
1500,mlp_fc,13,1,14,0.039672753083956847
1500,mlp_fc,14,1,14,0.04808782279587496
1500,mlp_fc,15,1,14,0.03693615568542581
1500,mlp_fc,16,1,14,0.04397750575895099
1500,mlp_fc,17,1,14,0.04364863712851649
1500,mlp_fc,18,1,15,0.03152334678163262
1500,mlp_fc,19,1,14,0.03388551776448741
1500,mlp_proj,0,0,0,nan
1500,mlp_proj,1,0,0,nan
1500,mlp_proj,2,0,0,nan
1500,mlp_proj,3,0,0,nan
1500,mlp_proj,4,0,0,nan
1500,mlp_proj,5,0,0,nan
1500,mlp_proj,6,0,0,nan
1500,mlp_proj,7,0,0,nan
1500,mlp_proj,8,0,0,nan
1500,mlp_proj,9,0,0,nan
1500,mlp_proj,10,0,0,nan
1500,mlp_proj,11,0,0,nan
1500,mlp_proj,12,0,0,nan
1500,mlp_proj,13,0,0,nan
1500,mlp_proj,14,0,0,nan
1500,mlp_proj,15,0,0,nan
1500,mlp_proj,16,0,0,nan
1500,mlp_proj,17,0,0,nan
1500,mlp_proj,18,0,0,nan
1500,mlp_proj,19,0,0,nan
